# level nx ny res_l2
3 16 16 1.131538e-08
4 8 8 1.960401e-09
1 64 64 9.542777e-03
2 32 32 1.689025e-07
3 16 16 1.054934e-08
4 8 8 1.700655e-09
1 64 64 9.462328e-03
2 32 32 1.669243e-07
3 16 16 9.928069e-09
4 8 8 1.478855e-09
1 64 64 9.382573e-03
2 32 32 1.650491e-07
3 16 16 9.425164e-09
4 8 8 1.289883e-09
1 64 64 9.303502e-03
2 32 32 1.632562e-07
3 16 16 9.017803e-09
4 8 8 1.129324e-09
1 64 64 9.225111e-03
2 32 32 1.615298e-07
3 16 16 8.686675e-09
4 8 8 9.933736e-10
1 64 64 9.147392e-03
2 32 32 1.598580e-07
3 16 16 8.415726e-09
4 8 8 8.787332e-10
1 64 64 9.070340e-03
2 32 32 1.582319e-07
3 16 16 8.191869e-09
4 8 8 7.825345e-10
1 64 64 8.993947e-03
2 32 32 1.566445e-07
3 16 16 8.004594e-09
4 8 8 7.022472e-10
1 64 64 8.918208e-03
2 32 32 1.550908e-07
3 16 16 7.845600e-09
4 8 8 6.356505e-10
1 64 64 8.843117e-03
2 32 32 1.535666e-07
3 16 16 7.708379e-09
4 8 8 5.807434e-10
1 64 64 8.768667e-03
2 32 32 1.520690e-07
3 16 16 7.587903e-09
4 8 8 5.357494e-10
1 64 64 8.694852e-03
2 32 32 1.505955e-07
3 16 16 7.480298e-09
4 8 8 4.990680e-10
1 64 64 8.621667e-03
2 32 32 1.491444e-07
3 16 16 7.382614e-09
4 8 8 4.692873e-10
1 64 64 8.549106e-03
2 32 32 1.477141e-07
3 16 16 7.292596e-09
4 8 8 4.451548e-10
1 64 64 8.477163e-03
2 32 32 1.463035e-07
3 16 16 7.208539e-09
4 8 8 4.255925e-10
1 64 64 8.405833e-03
2 32 32 1.449117e-07
3 16 16 7.129153e-09
4 8 8 4.096875e-10
1 64 64 8.335109e-03
2 32 32 1.435378e-07
3 16 16 7.053465e-09
4 8 8 3.966768e-10
1 64 64 8.264987e-03
2 32 32 1.421812e-07
3 16 16 6.980735e-09
4 8 8 3.859351e-10
1 64 64 8.195461e-03
2 32 32 1.408414e-07
3 16 16 6.910404e-09
4 8 8 3.769575e-10
1 64 64 8.126525e-03
2 32 32 1.395179e-07
3 16 16 6.842060e-09
4 8 8 3.693535e-10
1 64 64 8.058175e-03
2 32 32 1.382103e-07
3 16 16 6.775379e-09
4 8 8 3.628053e-10
1 64 64 7.990405e-03
2 32 32 1.369181e-07
3 16 16 6.710120e-09
4 8 8 3.570713e-10
1 64 64 7.923209e-03
2 32 32 1.356411e-07
3 16 16 6.646102e-09
4 8 8 3.519673e-10
1 64 64 7.856583e-03
2 32 32 1.343789e-07
3 16 16 6.583181e-09
4 8 8 3.473470e-10
1 64 64 7.790522e-03
2 32 32 1.331313e-07
3 16 16 6.521253e-09
4 8 8 3.431032e-10
1 64 64 7.725020e-03
2 32 32 1.318979e-07
3 16 16 6.460231e-09
4 8 8 3.391507e-10
1 64 64 7.660073e-03
2 32 32 1.306785e-07
3 16 16 6.400051e-09
4 8 8 3.354280e-10
1 64 64 7.595676e-03
2 32 32 1.294729e-07
3 16 16 6.340662e-09
4 8 8 3.318862e-10
1 64 64 7.531823e-03
2 32 32 1.282808e-07
3 16 16 6.282023e-09
4 8 8 3.284906e-10
1 64 64 7.468511e-03
2 32 32 1.271020e-07
3 16 16 6.224101e-09
4 8 8 3.252119e-10
1 64 64 7.405734e-03
2 32 32 1.259362e-07
3 16 16 6.166868e-09
4 8 8 3.220297e-10
1 64 64 7.343488e-03
2 32 32 1.247833e-07
3 16 16 6.110301e-09
4 8 8 3.189298e-10
1 64 64 7.281768e-03
2 32 32 1.236430e-07
3 16 16 6.054381e-09
4 8 8 3.158974e-10
1 64 64 7.220569e-03
2 32 32 1.225152e-07
3 16 16 5.999090e-09
4 8 8 3.129247e-10
1 64 64 7.159887e-03
2 32 32 1.213996e-07
3 16 16 5.944416e-09
4 8 8 3.100056e-10
1 64 64 7.099718e-03
2 32 32 1.202961e-07
3 16 16 5.890344e-09
4 8 8 3.071316e-10
1 64 64 7.040056e-03
2 32 32 1.192045e-07
3 16 16 5.836862e-09
4 8 8 3.043020e-10
1 64 64 6.980898e-03
2 32 32 1.181245e-07
3 16 16 5.783959e-09
4 8 8 3.015115e-10
1 64 64 6.922240e-03
2 32 32 1.170561e-07
3 16 16 5.731625e-09
4 8 8 2.987576e-10
1 64 64 6.864076e-03
2 32 32 1.159989e-07
3 16 16 5.679849e-09
4 8 8 2.960381e-10
1 64 64 6.806402e-03
2 32 32 1.149530e-07
3 16 16 5.628624e-09
4 8 8 2.933518e-10
1 64 64 6.749215e-03
2 32 32 1.139180e-07
3 16 16 5.577939e-09
4 8 8 2.906974e-10
1 64 64 6.692510e-03
2 32 32 1.128939e-07
3 16 16 5.527788e-09
4 8 8 2.880728e-10
1 64 64 6.636284e-03
2 32 32 1.118805e-07
3 16 16 5.478159e-09
4 8 8 2.854777e-10
1 64 64 6.580531e-03
2 32 32 1.108776e-07
3 16 16 5.429048e-09
4 8 8 2.829111e-10
1 64 64 6.525247e-03
2 32 32 1.098851e-07
3 16 16 5.380446e-09
4 8 8 2.803724e-10
1 64 64 6.470430e-03
2 32 32 1.089028e-07
3 16 16 5.332345e-09
4 8 8 2.778607e-10
1 64 64 6.416075e-03
2 32 32 1.079306e-07
3 16 16 5.284739e-09
4 8 8 2.753767e-10
1 64 64 6.362177e-03
2 32 32 1.069683e-07
3 16 16 5.237619e-09
4 8 8 2.729181e-10
1 64 64 6.308733e-03
2 32 32 1.060158e-07
3 16 16 5.190979e-09
4 8 8 2.704852e-10
1 64 64 6.255739e-03
2 32 32 1.050730e-07
3 16 16 5.144814e-09
4 8 8 2.680764e-10
1 64 64 6.203192e-03
2 32 32 1.041398e-07
3 16 16 5.099116e-09
4 8 8 2.656939e-10
1 64 64 6.151086e-03
2 32 32 1.032159e-07
3 16 16 5.053878e-09
4 8 8 2.633343e-10
1 64 64 6.099420e-03
2 32 32 1.023013e-07
3 16 16 5.009094e-09
4 8 8 2.609995e-10
1 64 64 6.048188e-03
2 32 32 1.013959e-07
3 16 16 4.964759e-09
4 8 8 2.586880e-10
1 64 64 5.997387e-03
2 32 32 1.004995e-07
3 16 16 4.920866e-09
4 8 8 2.563999e-10
1 64 64 5.947014e-03
2 32 32 9.961197e-08
3 16 16 4.877410e-09
4 8 8 2.541346e-10
1 64 64 5.897065e-03
2 32 32 9.873327e-08
3 16 16 4.834383e-09
4 8 8 2.518918e-10
1 64 64 5.847536e-03
2 32 32 9.786324e-08
3 16 16 4.791782e-09
4 8 8 2.496716e-10
1 64 64 5.798424e-03
2 32 32 9.700178e-08
3 16 16 4.749600e-09
4 8 8 2.474727e-10
1 64 64 5.749724e-03
2 32 32 9.614877e-08
3 16 16 4.707832e-09
4 8 8 2.452956e-10
1 64 64 5.701435e-03
2 32 32 9.530411e-08
3 16 16 4.666473e-09
4 8 8 2.431399e-10
1 64 64 5.653551e-03
2 32 32 9.446768e-08
3 16 16 4.625517e-09
4 8 8 2.410059e-10
1 64 64 5.606070e-03
2 32 32 9.363939e-08
3 16 16 4.584960e-09
4 8 8 2.388919e-10
1 64 64 5.558989e-03
2 32 32 9.281912e-08
3 16 16 4.544796e-09
4 8 8 2.367990e-10
1 64 64 5.512303e-03
2 32 32 9.200679e-08
3 16 16 4.505020e-09
4 8 8 2.347264e-10
1 64 64 5.466010e-03
2 32 32 9.120229e-08
3 16 16 4.465627e-09
4 8 8 2.326729e-10
1 64 64 5.420106e-03
2 32 32 9.040552e-08
3 16 16 4.426614e-09
4 8 8 2.306404e-10
1 64 64 5.374588e-03
2 32 32 8.961639e-08
3 16 16 4.387974e-09
4 8 8 2.286265e-10
1 64 64 5.329453e-03
2 32 32 8.883481e-08
3 16 16 4.349704e-09
4 8 8 2.266326e-10
1 64 64 5.284697e-03
2 32 32 8.806069e-08
3 16 16 4.311799e-09
4 8 8 2.246568e-10
1 64 64 5.240318e-03
2 32 32 8.729392e-08
3 16 16 4.274254e-09
4 8 8 2.227006e-10
1 64 64 5.196311e-03
2 32 32 8.653444e-08
3 16 16 4.237067e-09
4 8 8 2.207628e-10
1 64 64 5.152674e-03
2 32 32 8.578214e-08
3 16 16 4.200230e-09
4 8 8 2.188429e-10
1 64 64 5.109404e-03
2 32 32 8.503695e-08
3 16 16 4.163742e-09
4 8 8 2.169418e-10
1 64 64 5.066498e-03
2 32 32 8.429877e-08
3 16 16 4.127597e-09
4 8 8 2.150582e-10
1 64 64 5.023952e-03
2 32 32 8.356754e-08
3 16 16 4.091793e-09
4 8 8 2.131930e-10
1 64 64 4.981764e-03
2 32 32 8.284316e-08
3 16 16 4.056324e-09
4 8 8 2.113445e-10
1 64 64 4.939930e-03
2 32 32 8.212556e-08
3 16 16 4.021187e-09
4 8 8 2.095135e-10
1 64 64 4.898448e-03
2 32 32 8.141465e-08
3 16 16 3.986378e-09
